label,SPXOpenUpDown,SPXPrevChange,SPXPrevVolChange
1,0.014123731,-0.018502775,0.067986627
0,0.01634703,0.000491936,0.154324429
1,-0.014705672,0.008356759,0.088789497
1,-0.020149441,0.003490644,0.047803542
1,0.004471617,-0.006337765,0.018301735
0,-0.001853326,0.000817885,0.041617085
1,-0.000311299,-0.002726085,-0.26577096
0,0.029443833,-0.021971289,0.377834546
0,0.011357148,0.004074348,-0.191313182
1,-0.00085738,-0.008288566,0.14083011
0,0.001800575,0.009317477,-0.024800154
1,-0.02164415,0.004882527,0.055756286
1,-0.005498057,-0.003619272,-0.122079264
0,0.010604682,-0.000941898,0.083309624
0,-0.009793115,0.004482594,-0.186968926
1,-0.01724801,0.005201615,0.212705874
1,-0.006079767,-0.000543603,-0.198509077
0,0.000637969,-0.003346239,-0.088339858
0,0.003034191,0.00282055,0.11794121
1,-0.009970217,0.006547245,0.035784549
1,-0.00935687,0.000162837,0.077214593
1,0.000562011,-0.001600177,-0.176524807
0,0.004753232,0.000517302,0.164168373
1,-0.003090807,0.003348176,0.068781036
1,-0.003678434,0.001742455,0.056669814
1,-0.001759364,-0.001185927,-0.466541641
0,0.006112838,-0.005434698,0.912621329
0,0.00556187,0.002775274,-0.176200054
1,0.005696724,-0.011933612,0.165505127
0,0.005882941,0.005565388,0.078521662
1,-0.003113231,-0.002716208,-0.051303316

